userId,movieId,rating
1,114709,4.0
1,113228,4.0
1,113277,4.0
1,114369,5.0
1,114814,5.0
1,116367,3.0
1,115734,5.0
1,112573,4.0
1,114287,5.0
1,109370,5.0
1,112851,5.0
1,112508,5.0
1,109445,3.0
1,109686,5.0
1,109707,4.0
1,76759,5.0
1,110912,3.0
1,111282,3.0
1,114694,5.0
1,109444,4.0
1,109830,4.0
1,110213,5.0
1,110475,4.0
1,109303,3.0
1,106677,4.0
1,106977,5.0
1,107290,4.0
1,107614,3.0
1,108052,5.0
1,108174,4.0
1,108333,4.0
1,108358,5.0
1,99348,4.0
1,96895,4.0
1,102926,4.0
1,32910,5.0
1,116282,5.0
1,117060,3.0
1,116683,5.0
1,117705,3.0
1,117500,4.0
1,117998,3.0
1,116629,3.0
1,117628,4.0
1,32138,5.0
1,33467,5.0
1,29843,5.0
1,39420,4.0
1,31679,5.0
1,72951,3.0
1,63819,5.0
1,38166,5.0
1,57546,5.0
1,33563,5.0
1,76538,3.0
1,66817,5.0
1,43274,5.0
1,117887,4.0
1,116409,5.0
1,117802,4.0
1,67992,5.0
1,79470,5.0
1,105236,5.0
1,91763,4.0
1,103772,5.0
1,83866,5.0
1,96754,4.0
1,71853,5.0
1,80684,5.0
1,93779,5.0
1,82971,5.0
1,66921,5.0
1,78788,4.0
1,86190,5.0
1,99685,5.0
1,78748,4.0
1,54215,2.0
1,80455,5.0
1,93058,5.0
1,97499,5.0
1,45061,5.0
1,88247,5.0
1,23969,5.0
1,81505,3.0
1,107048,4.0
1,88763,5.0
1,91203,5.0
1,72431,5.0
1,32455,5.0
1,97576,5.0
1,84503,5.0
1,13442,4.0
1,103776,3.0
1,105435,3.0
1,104691,3.0
1,119640,3.0
1,118702,4.0
1,119229,4.0
1,118655,5.0
1,118880,4.0
1,119094,5.0
1,119654,3.0
1,82198,5.0
1,119488,5.0
1,119468,4.0
1,119174,5.0
1,119345,3.0
1,120201,3.0
1,118715,5.0
1,120888,4.0
1,120491,4.0
1,120769,5.0
1,120890,4.0
1,122718,4.0
1,20629,5.0
1,75148,5.0
1,91369,4.0
1,93409,4.0
1,89218,5.0
1,99088,4.0
1,34492,5.0
1,120815,4.0
1,88814,5.0
1,91059,4.0
1,91149,5.0
1,97523,4.0
1,120768,5.0
1,61852,5.0
1,76618,5.0
1,89908,3.0
1,102803,5.0
1,53285,4.0
1,38969,4.0
1,84827,4.0
1,87469,5.0
1,77869,5.0
1,70016,5.0
1,84649,5.0
1,90633,5.0
1,89469,4.0
1,88323,5.0
1,94721,4.0
1,96446,4.0
1,105629,2.0
1,104257,4.0
1,120812,4.0
1,99487,5.0
1,120586,5.0
1,130018,2.0
1,120660,5.0
1,24216,4.0
1,124198,5.0
1,155975,2.0
1,128445,5.0
1,88011,4.0
1,90357,3.0
1,120863,5.0
1,91225,4.0
1,72271,5.0
1,90555,5.0
1,92086,4.0
1,138987,4.0
1,151804,5.0
1,74812,3.0
1,63442,5.0
1,120735,5.0
1,133093,5.0
1,139239,5.0
1,133189,5.0
1,99422,4.0
1,120616,2.0
1,120915,4.0
1,78346,4.0
1,81573,5.0
1,21814,4.0
1,21884,4.0
1,34398,5.0
1,73629,3.0
1,130827,5.0
1,158983,5.0
1,87332,5.0
1,129167,5.0
1,94737,4.0
1,120657,4.0
1,169547,5.0
1,82348,5.0
1,31397,5.0
1,100802,4.0
1,61578,5.0
1,58150,5.0
1,57076,5.0
1,55928,5.0
1,137523,5.0
1,93870,4.0
1,96438,5.0
1,70328,5.0
1,59800,5.0
1,120601,4.0
1,94012,5.0
1,70608,5.0
1,120655,5.0
1,151137,5.0
1,56197,4.0
1,120689,5.0
1,64276,4.0
1,134119,1.0
1,104187,3.0
1,105417,3.0
1,105793,5.0
1,134084,5.0
1,102138,5.0
1,103060,4.0
1,108308,4.0
1,87985,5.0
1,93105,5.0
1,107050,5.0
1,89457,4.0
1,102057,4.0
1,93773,4.0
1,172495,5.0
1,215129,4.0
1,71807,4.0
1,71230,5.0
1,79501,5.0
1,82694,5.0
1,67741,5.0
1,90728,4.0
1,162650,4.0
1,120903,5.0
1,103241,4.0
1,92106,4.0
1,66026,5.0
2,111161,3.0
2,114694,4.0
2,119217,4.5
2,172495,4.0
2,266697,4.0
2,369339,3.5
2,415306,4.0
2,407887,4.0
2,468569,4.5
2,838283,5.0
2,361748,4.5
2,1156398,3.0
2,1130884,4.0
2,1587707,3.0
2,1375666,4.0
2,840361,4.5
2,1645089,5.0
2,1421373,4.0
2,1291584,5.0
2,1345836,3.5
2,1568346,2.5
2,1853728,3.5
2,993846,5.0
2,816692,3.0
2,2582802,4.0
2,1600196,2.0
2,470752,3.5
2,1392190,5.0
2,4299972,5.0
3,112792,0.5
3,108052,0.5
3,115956,0.5
3,114048,0.5
3,118114,0.5
3,116225,5.0
3,58385,0.5
3,101761,0.5
3,82846,0.5
3,77416,0.5
3,66206,0.5
3,91203,3.5
3,97351,0.5
3,79945,3.0
3,82198,4.5
3,34492,0.5
3,48280,0.5
3,76618,0.5
3,84827,2.0
3,84787,4.0
3,128853,0.5
3,81454,5.0
3,78087,4.5
3,83929,0.5
3,82694,5.0
3,180093,0.5
3,95488,5.0
